Key	Ýngilizce	Türkçe
$(C)	(C)	(C)
$(KG)	(KG)	 (KÝLOGRAM)
$(Rank #)	(Rank {0})	 (Sýra {0})
$(SHIELDED)	(SHIELDED)	 (KALKANLI)
$0 results found.	0 results found.	 0 sonuç bulundu.
$10 Mins	10 Mins	 10 dakika
$15 Mins	15 Mins	 15 dakika
$30 Mins	30 Mins	 30 dakika
$45 Mins	45 Mins	 45 dakika
$5 Mins	5 Mins	 5 dakika
$60 Mins	60 Mins	 60 dakika
$ABBREVIATED_ELECTRIC	ELEC	 ELEC
$ABBREVIATED_ELECTROMAGNETIC	EM	 EM
$ABBREVIATED_ENERGY	ENGY	ENERJÝ
$ABBREVIATED_PHYSICAL	PHYS	 FÝZÝK
$ABORT	ABORT	 DURDUR
$ABORT JUMP	ABORT JUMP	 ATLAMAYI ÝPTAL ET
$acc	Accuracy	Ýsabet
$ACCEPT	ACCEPT	 KABUL ETMEK
$ACCEPTTRADE	ACCEPT TRADE	 TÝCARETÝ KABUL ET
$ACCURACY	ACCURACY	ÝSABET
$ACCURACY_LRG	ACC	 ACC
$Action	Action	 Aksiyon
$ACTIVATE	ACTIVATE	 ETKÝNLEÞTÝR
$Activate	Activate	 Etkinleþtir
$ACTIVE_EFFECTS	ACTIVE EFFECTS	 AKTÝF ETKÝLER
$Activity	ACTIVITY	 AKTÝVÝTE
$Actor Fade	Actor Fade	 Aktör Kaybolma
$Actor Fade Desc	Controls the distance at which actors fade in.	 Aktörlerin yavaþ yavaþ kaybolacaðý mesafeyi kontrol eder.
$ADD	ADD	 EKLE
$ADD ALL	ADD ALL	 HEPSÝNÝ EKLE
$ADD-ONS	ADD-ONS	 EKLENTÝLER
$ADJUST	ADJUST	 AYARLAMAK
$ADJUST HEIGHT	ADJUST HEIGHT	 YÜKSEKLÝÐÝ AYARLAYIN
$ADJUST_ZOOM	ADJUST ZOOM	 YAKINLAÞTIRMAYI AYARLAYIN
$Advanced	Advanced	 Geliþmiþ
$AGILITY	AGILITY	 ÇEVÝKLÝK
$Aim Horizontal Sensitivity	Aim Sensitivity H	 Hedef Hassasiyeti D
$Aim Horizontal Sensitivity Desc	Controls the sensitivity of horizontal looking while aiming a weapon.	 Bir silahý hedef alýrken yatay bakýþýn hassasiyetini kontrol eder.
